,Stock Name,Price 6/27/2016,Price 6/28/2016,%Change
132,"""ASRVP""",27.129,27,-0.475505916
133,"""ATLO""",26.25,26.48,0.876190476
134,"""AMGN""",144.58,148.42,2.655969014
135,"""FOLD""",5,5.43,8.6
136,"""AMKR""",5.37,5.63,4.841713222
137,"""AMPH""",15.51,16.63,7.221147647
138,"""IBUY""",22.94,23.5,2.441150828
139,"""ASYS""",5.9,5.96,1.016949153
140,"""AMRS""",0.35,0.375,7.142857143
141,"""ADI""",52.55,54.31,3.349191246
142,"""AVXL""",4.54,4.78,5.286343612
143,"""ANGI""",6.57,6.58,0.152207002
144,"""ANGO""",13.5,13.53,0.222222222
145,"""ANIP""",52.55,57,8.468125595
146,"""ANIK""",50.17,50.93,1.514849512
147,"""ANIX""",3.17,3.01,-5.047318612
148,"""ANSS""",85.09,86.58,1.751087084
149,"""ATRS""",1.05,1.11,5.714285714
150,"""ATEX""",20.04,19.8,-1.19760479
151,"""APEX""",11.21,11.34,1.159678858
152,"""APOG""",42.05,43.3,2.972651605
153,"""APEN""",2.05,2.05,0
154,"""AINV""",5.26,5.32,1.140684411
155,"""AMEH""",5,5,0
156,"""APPF""",13.46,13.67,1.560178306
157,"""AAPL""",92.04,93.59,1.684050413
158,"""APDN""",2.95,3.07,4.06779661
159,"""APDNW""",1.15,1.127,-2
160,"""AGTC""",12.96,13.43,3.62654321
161,"""AMAT""",22.29,22.94,2.916105877
162,"""AAOI""",9.2,9.9,7.608695652
163,"""APM""",2.474,2.497,0.929668553
164,"""APTO""",2.195,2.33,6.150341686
165,"""AQMS""",10.28,10.6,3.112840467
166,"""ARAV""",9.83,10.18,3.560528993
167,"""ABUS""",3.34,3.37,0.898203593
168,"""ABIO""",2.78,2.88,3.597122302
169,"""RKDA""",2.5,2.5,0
170,"""ARCB""",14.96,15.28,2.139037433
171,"""ACGL""",67.54,68.75,1.791530945
172,"""ARCT""",4.1,4.21,2.682926829
173,"""ARDX""",7.78,8.27,6.298200514
174,"""ARNA""",1.65,1.71,3.636363636
