,Stock Name,Price 04/03/2018,Price 04/04/2018
0,"""PIH""",7.05,7.075
1,"""FLWS""",12.15,12.5
2,"""SRCE""",50.98,51.51
3,"""VNET""",6.69,6.63
4,"""TWOU""",80.06,81.76
5,"""JOBS""",87.33,87.25
6,"""EGHT""",18.6,18.85
7,"""AAON""",36.35,35.85
8,"""ABEO""",14.0,15.15
9,"""ABIL""",2.88,2.7
10,"""ABMD""",278.07,288.53
11,"""AXAS""",2.18,2.19
12,"""ACIA""",35.8,35.82
13,"""ACTG""",3.35,3.4
14,"""ACHC""",39.23,40.0
15,"""ACAD""",21.2,22.34
16,"""ACST""",1.1,1.1
17,"""AXDX""",22.5,23.3
18,"""XLRN""",38.14,38.35
19,"""ARAY""",4.6,4.7
20,"""ACRX""",2.125,2.15
21,"""ACER""",18.56,18.39
22,"""ACHV""",1.26,1.28
23,"""ACHN""",3.51,3.55
24,"""ACIW""",23.785,23.81
25,"""ACRS""",16.8,16.58
26,"""ACNB""",28.6,29.3
27,"""ACOR""",22.95,23.7
28,"""ATVI""",65.48,66.27
29,"""ADMS""",24.6,25.4
30,"""ADMP""",3.4,3.4
31,"""ADAP""",10.84,11.23
32,"""ADUS""",50.45,51.6
33,"""AEY""",1.28,1.29
34,"""IOTS""",7.65,7.55
35,"""ADMA""",4.69,4.97
36,"""ADBE""",215.93,225.05
37,"""ADTN""",15.2,15.1
38,"""ADRO""",8.6,8.85
39,"""ADES""",11.45,11.18
40,"""AEIS""",62.26,62.97
41,"""AMD""",9.55,9.77
42,"""ADXS""",1.63,1.76
43,"""ADVM""",5.55,5.75
44,"""AEGN""",22.83,23.01
45,"""AGLE""",9.58,10.19
46,"""AEHR""",2.27,2.38
47,"""AMTX""",1.66,1.51
48,"""AERI""",52.5,52.1
49,"""AVAV""",45.89,46.31
50,"""AEZS""",1.19,1.26
51,"""AEMD""",1.45,1.43
52,"""GNMX""",1.86,1.9
53,"""AFMD""",2.1,2.275
54,"""AGEN""",4.56,4.61
55,"""AGRX""",2.71,2.87
56,"""AGYS""",12.1,12.37
57,"""AGIO""",73.94,77.17
58,"""AGNC""",18.88,18.94
59,"""AGNCB""",25.76,25.82
60,"""AGFS""",7.28,7.36
61,"""AIMT""",28.63,29.73
62,"""AIRT""",24.75,16.5
63,"""ATSG""",23.19,23.38
64,"""ANTE""",3.65,3.7
65,"""AKAM""",70.12,70.41
66,"""AKTX""",1.8,1.8
67,"""SONG""",0.2,5.27
68,"""AKBA""",9.38,9.88
69,"""AKER""",0.6459999999999999,0.569
70,"""AKRX""",19.07,19.46
71,"""AKTS""",5.41,5.62
72,"""ALRM""",38.79,38.81
73,"""ALSK""",1.67,1.695
74,"""ALACR""",1.03,0.24
75,"""ALBO""",31.76,32.21
76,"""ABDC""",6.95,7.13
77,"""ALDX""",6.95,7.2
78,"""ALRS""",23.6,23.66
79,"""ALXN""",107.48,111.51
80,"""ALCO""",27.45,27.95
81,"""ALGN""",243.62,248.93
82,"""ALIM""",1.02,1.04
83,"""ALYA""",5.4,5.5
84,"""ALJJ""",2.14,2.161
85,"""ALKS""",43.68,44.16
