,Stock Name,Price 11/30/2018,Price 12/01/2018
0,"""PIH""",5.01,5.0
1,"""FLWS""",12.51,12.6
2,"""SRCE""",48.36,48.27
3,"""VNET""",9.48,9.98
4,"""TWOU""",58.39,57.35
5,"""JOBS""",68.08,72.31
6,"""EGHT""",19.71,20.2
7,"""AAON""",37.95,38.79
8,"""ABEO""",8.2,8.5
9,"""ABIL""",2.69,2.62
10,"""ABMD""",332.68,343.45
11,"""AXAS""",1.63,1.84
12,"""ACIA""",42.88,43.67
13,"""ACTG""",3.18,3.18
14,"""ACHC""",33.97,33.89
15,"""ACAD""",19.06,20.3
16,"""ACST""",0.73,0.7
17,"""AXDX""",14.77,15.01
18,"""XLRN""",52.93,53.85
19,"""ARAY""",4.1,4.0
20,"""ACRX""",3.37,3.26
21,"""ACER""",22.91,22.95
22,"""ACHV""",1.52,1.53
23,"""ACHN""",2.89,3.12
24,"""ACIW""",28.88,29.44
25,"""ACRS""",9.32,9.47
26,"""ACNB""",36.09,37.0
27,"""ACOR""",20.43,20.78
28,"""ATVI""",49.88,46.6
29,"""ADMS""",10.24,11.07
30,"""ADMP""",3.05,2.89
31,"""ADAP""",6.16,6.25
32,"""ADUS""",74.22,76.43
33,"""AEY""",1.33,1.33
34,"""IOTS""",5.31,5.41
35,"""ADMA""",5.27,5.26
36,"""ADBE""",250.89,255.26
37,"""ADTN""",12.45,12.78
38,"""ADRO""",2.48,2.5
39,"""ADES""",10.77,10.77
40,"""AEIS""",47.04,47.0
41,"""AMD""",21.3,23.71
42,"""ADXS""",0.41,0.439
43,"""ADVM""",3.59,3.76
44,"""AEGN""",19.1,18.84
45,"""AGLE""",8.42,8.47
46,"""AEHR""",1.88,1.9
47,"""AMTX""",0.7340000000000001,0.778
48,"""AERI""",39.89,41.55
49,"""AVAV""",76.6,73.31
50,"""AEZS""",3.38,3.87
51,"""AEMD""",1.26,1.31
52,"""GNMX""",1.03,1.08
53,"""AFMD""",4.48,4.67
54,"""AGEN""",2.41,2.48
55,"""AGRX""",0.867,0.84
56,"""AGYS""",16.49,16.49
57,"""AGIO""",65.8,56.81
58,"""AGNC""",17.7,17.8
59,"""AGNCB""",25.59,25.625999999999998
60,"""AGFS""",4.21,4.25
61,"""AIMT""",23.75,23.86
62,"""AIRT""",30.12,29.0
63,"""ATSG""",18.53,18.64
64,"""ANTE""",1.35,1.35
65,"""AKAM""",68.75,70.24
66,"""AKTX""",1.79,1.82
67,"""SONG""",0.2,5.27
68,"""AKBA""",8.08,8.43
69,"""AKER""",1.51,1.45
70,"""AKRX""",6.86,6.83
71,"""AKTS""",5.0,5.05
72,"""ALRM""",50.85,51.28
73,"""ALSK""",1.5,1.53
74,"""ALACR""",1.03,0.24
75,"""ALBO""",26.45,26.27
76,"""ABDC""",6.49,6.59
77,"""ALDX""",8.97,9.26
78,"""ALRS""",21.75,21.75
79,"""ALXN""",123.15,125.47
80,"""ALCO""",33.05,33.19
81,"""ALGN""",229.89,235.7
82,"""ALIM""",1.02,1.03
83,"""ALYA""",3.65,3.8
84,"""ALJJ""",1.7,1.77
85,"""ALKS""",36.44,36.4
86,"""ABTX""",37.93,37.36
87,"""ALGT""",134.41,133.68
88,"""ARLP""",19.65,19.63
89,"""LNT""",45.39,45.9
90,"""AHPI""",1.98,1.9809999999999999
91,"""AMOT""",47.31,47.25
92,"""ALLT""",6.97,6.83
93,"""MDRX""",10.21,10.4
94,"""ALNY""",81.16,84.29
95,"""AOSL""",11.02,11.23
96,"""GOOG""",1094.43,1106.43
97,"""GOOGL""",1109.65,1116.36
98,"""SMCP""",22.94,23.79
99,"""ATEC""",2.71,2.63
100,"""ALPN""",4.8,4.8
101,"""ATHE""",1.67,1.65
102,"""ALT""",3.59,3.49
103,"""ASPS""",23.74,23.17
104,"""AIMC""",31.55,31.67
105,"""AMAG""",18.05,18.8
106,"""AMRN""",18.0,17.67
107,"""AMRK""",12.11,12.24
108,"""AMZN""",1690.17,1772.36
109,"""AMBC""",17.48,17.48
110,"""AMBA""",39.99,42.35
111,"""AMCX""",59.86,58.27
112,"""AMCI""",0.207,0.207
113,"""DOX""",64.91,65.58
114,"""AMED""",136.25,140.23
115,"""UHAL""",346.45,349.64
116,"""AMRH""",0.24,0.25
117,"""ATAX""",5.59,5.62
118,"""AMOV""",13.36,13.42
119,"""AAL""",40.16,39.65
120,"""AMNB""",36.03,36.19
121,"""ANAT""",127.61,127.5
122,"""AOBC""",12.18,12.23
123,"""APEI""",31.64,32.08
124,"""AMRB""",14.82,14.82
125,"""AMSWA""",10.4,10.54
126,"""AMSC""",10.0,10.77
127,"""AMWD""",66.89,66.54
128,"""CRMT""",74.21,73.62
129,"""ABCB""",42.83,42.9
130,"""AMSF""",64.59,64.89
131,"""ASRV""",4.29,4.21
132,"""ASRVP""",28.7,29.0
133,"""ATLO""",27.46,27.8
134,"""AMGN""",208.25,202.93
135,"""FOLD""",11.04,10.94
136,"""AMKR""",6.85,6.97
137,"""AMPH""",21.72,22.51
138,"""IBUY""",45.13,45.88
139,"""ASYS""",5.5,5.34
140,"""AMRS""",4.94,4.83
141,"""ADI""",91.92,93.51
142,"""AVXL""",2.29,2.28
143,"""ANGI""",17.53,17.64
144,"""ANGO""",21.49,21.31
145,"""ANIP""",55.59,55.35
146,"""ANIK""",34.45,34.75
147,"""ANIX""",3.92,3.93
148,"""ANSS""",162.02,163.42
149,"""ATRS""",3.61,3.65
150,"""ATEX""",43.44,40.0
151,"""APEX""",0.6,0.71
152,"""APOG""",36.45,36.96
153,"""APEN""",4.46,4.7
154,"""AINV""",5.25,16.5
155,"""AMEH""",17.92,19.18
156,"""APPF""",61.29,61.77
157,"""AAPL""",178.58,184.82
158,"""APDN""",1.1,1.1
159,"""APDNW""",0.06,0.06
160,"""AGTC""",6.49,6.56
161,"""AMAT""",37.28,38.34
162,"""AAOI""",20.59,21.58
163,"""APM""",2.487,14.35
164,"""APTO""",2.287,2.27
165,"""AQMS""",2.28,2.2
166,"""ARAV""",5.52,5.25
167,"""ABUS""",4.36,4.72
168,"""ABIO""",0.516,0.516
169,"""RKDA""",4.03,4.1
170,"""ARCB""",40.26,40.03
171,"""ACGL""",28.62,28.39
172,"""ARCT""",6.25,6.12
173,"""ARDX""",2.72,2.71
174,"""ARNA""",41.01,42.46
175,"""ARCC""",17.04,17.25
176,"""ARKR""",22.03,22.03
177,"""ARTX""",2.77,2.82
178,"""ARQL""",3.71,3.87
179,"""DWAT""",10.95,10.95
180,"""AROW""",34.77,35.36
181,"""ARWR""",14.52,15.09
182,"""ARTNA""",36.36,35.64
183,"""ARTW""",2.39,2.3
184,"""ASNA""",3.02,3.06
185,"""ASND""",67.51,67.5
186,"""APWC""",2.2569999999999997,2.296
187,"""ASML""",171.35,177.66
188,"""ASPU""",5.67,6.12
189,"""AZPN""",86.3,87.89
